Processes,Size,Latency
2,2,0.15
2,4,0.15
2,8,0.15
2,16,0.14
2,32,0.15
2,64,0.15
2,128,0.22
2,256,0.22
2,512,0.27
2,1024,0.29
2,2048,0.33
2,4096,0.41
2,8192,0.58
2,16384,3.77
2,32768,4.50
2,65536,5.91
2,131072,10.94
2,262144,24.09
2,524288,46.23
2,1048576,88.73
4,2,0.18
4,4,0.18
4,8,0.17
4,16,0.18
4,32,0.18
4,64,0.18
4,128,0.32
4,256,0.36
4,512,0.35
4,1024,0.40
4,2048,0.50
4,4096,0.72
4,8192,1.08
4,16384,6.20
4,32768,7.67
4,65536,10.62
4,131072,16.92
4,262144,35.36
4,524288,74.01
4,1048576,147.14
8,2,0.88
8,4,0.93
8,8,0.89
8,16,0.88
8,32,0.94
8,64,1.02
8,128,1.31
8,256,1.33
8,512,1.61
8,1024,1.68
8,2048,2.17
8,4096,2.95
8,8192,4.88
8,16384,13.00
8,32768,19.26
8,65536,34.94
8,131072,64.89
8,262144,125.76
8,524288,235.27
8,1048576,445.65
16,2,1.19
16,4,1.25
16,8,1.18
16,16,1.23
16,32,1.58
16,64,1.50
16,128,2.11
16,256,2.17
16,512,2.34
16,1024,2.60
16,2048,3.32
16,4096,5.21
16,8192,9.36
16,16384,20.74
16,32768,34.96
16,65536,63.92
16,131072,123.24
16,262144,242.52
16,524288,467.41
16,1048576,875.36
32,2,2.05
32,4,2.12
32,8,1.95
32,16,2.04
32,32,2.07
32,64,2.06
32,128,3.17
32,256,3.18
32,512,3.50
32,1024,3.87
32,2048,5.59
32,4096,8.40
32,8192,15.51
32,16384,36.09
32,32768,61.53
32,65536,115.85
32,131072,228.88
32,262144,460.36
32,524288,889.66
32,1048576,1683.48
64,2,2.47
64,4,2.29
64,8,2.35
64,16,2.33
64,32,2.86
64,64,2.83
64,128,4.04
64,256,4.11
64,512,4.59
64,1024,4.98
64,2048,7.72
64,4096,13.85
64,8192,23.40
64,16384,64.13
64,32768,117.26
64,65536,216.86
64,131072,428.87
64,262144,871.01
64,524288,1443.99
64,1048576,2790.02
128,2,3.93
128,4,3.71
128,8,3.85
128,16,3.91
128,32,4.21
128,64,4.23
128,128,5.77
128,256,5.71
128,512,6.52
128,1024,6.69
128,2048,10.14
128,4096,18.87
128,8192,35.50
128,16384,95.66
128,32768,175.02
128,65536,340.45
128,131072,699.68
128,262144,1290.76
128,524288,2301.70
128,1048576,4293.80
256,2,5.50
256,4,5.67
256,8,5.62
256,16,5.61
256,32,6.03
256,64,9.18
256,128,10.48
256,256,11.10
256,512,14.71
256,1024,17.37
256,2048,26.86
256,4096,46.30
256,8192,87.53
256,16384,228.12
256,32768,323.95
256,65536,593.46
256,131072,1188.36
256,262144,2340.20
256,524288,5004.44
256,1048576,11489.08
