no warmup,code with barrrier, removed barrier at the and of chain. Barrrier only before the call of chain or bin tree, MPI reduce to write
Size,Time_bintree,Time_chain
2,0.034568,0.192187
4,0.017922,0.149084
8,0.017418,0.145071
16,0.017512,0.144655
32,0.017512,0.145088
64,0.024048,0.193883
128,0.019295,0.163941
256,0.019803,0.154547
512,0.017841,0.146476
1024,0.017969,0.147723
2048,0.017619,0.145809
4096,0.017492,0.143603
8192,0.017800,0.143343
16384,0.017585,0.144635
32768,0.017542,0.144439
65536,0.017848,0.149300
131072,0.021022,0.162409
262144,0.018526,0.144790
524288,0.020249,0.159287
1048576,0.019526,0.165967
