Processes,size,bintree,chain
2,1024,0.000189,0.000185
4,1024,0.000711,0.001236
6,1024,0.001828,0.002541
8,1024,0.003102,0.005186
10,1024,0.002338,0.005953
12,1024,0.003532,0.006703
14,1024,0.003329,0.006916
16,1024,0.003793,0.008903
18,1024,0.003011,0.009340
20,1024,0.003774,0.012295
22,1024,0.004772,0.013645
24,1024,0.006951,0.019855
26,1024,0.005203,0.017340
28,1024,0.005314,0.016693
30,1024,0.005239,0.018461
32,1024,0.005419,0.022041
34,1024,0.006883,0.020939
36,1024,0.006229,0.022356
38,1024,0.006202,0.024595
40,1024,0.006083,0.025260
42,1024,0.004793,0.025164
44,1024,0.006339,0.027569
46,1024,0.007382,0.028349
48,1024,0.007881,0.030179
50,1024,0.006045,0.030257
52,1024,0.006270,0.030877
54,1024,0.006106,0.031835
56,1024,0.006538,0.033414
58,1024,0.007097,0.036930
60,1024,0.005731,0.035613
62,1024,0.045336,0.133359
64,1024,0.004957,0.048676
66,1024,0.005135,0.053682
68,1024,0.005592,0.055499
70,1024,0.005805,0.057269
72,1024,0.005370,0.058618
74,1024,0.006665,0.060294
76,1024,0.007747,0.063875
78,1024,0.005969,0.064227
80,1024,0.006417,0.065646
82,1024,0.007482,0.068703
84,1024,0.007026,0.070783
86,1024,0.009911,0.072331
88,1024,0.006122,0.072468
90,1024,0.007213,0.075682
92,1024,0.008465,0.079069
94,1024,0.007669,0.079153
96,1024,0.008577,0.078897
98,1024,0.006661,0.082459
100,1024,0.007423,0.087327
102,1024,0.007295,0.084603
104,1024,0.006878,0.086288
106,1024,0.007942,0.093072
108,1024,0.007577,0.092098
110,1024,0.007652,0.094660
112,1024,0.006659,0.094072
114,1024,0.007184,0.096960
116,1024,0.009483,0.100107
118,1024,0.008393,0.102391
120,1024,0.009496,0.106370
122,1024,0.007955,0.105751
124,1024,0.007800,0.105606
126,1024,0.010199,0.110698
128,1024,0.008722,0.120855
130,1024,0.007527,0.111667
132,1024,0.021111,0.157611
134,1024,0.018741,0.123546
136,1024,0.007757,0.120987
138,1024,0.009748,0.123314
140,1024,0.009571,0.118624
142,1024,0.007455,0.126934
144,1024,0.009932,0.136837
146,1024,0.011456,0.130043
148,1024,0.010977,0.133348
150,1024,0.021470,0.127668
152,1024,0.007986,0.132049
154,1024,0.009975,0.136860
156,1024,0.011846,0.143129
158,1024,0.011798,0.144714
160,1024,0.010272,0.154935
162,1024,0.015904,0.148951
164,1024,0.015636,0.152377
166,1024,0.010077,0.144179
168,1024,0.012202,0.155677
170,1024,0.015460,0.203975
172,1024,0.013275,0.155238
174,1024,0.014363,0.157614
176,1024,0.016886,0.169360
178,1024,0.013547,0.167283
180,1024,0.014239,0.179702
182,1024,0.018953,0.177889
184,1024,0.015611,0.174894
186,1024,0.014600,0.166507
188,1024,0.015909,0.191063
190,1024,0.014056,0.173336
192,1024,0.016901,0.202279
194,1024,0.015278,0.174273
196,1024,0.016270,0.192624
198,1024,0.025485,0.205251
200,1024,0.015824,0.214863
202,1024,0.019466,0.181828
204,1024,0.014270,0.184632
206,1024,0.015836,0.197220
208,1024,0.015154,0.188402
210,1024,0.019380,0.191747
212,1024,0.016230,0.190205
214,1024,0.017173,0.188201
216,1024,0.019321,0.202582
218,1024,0.029832,0.192343
220,1024,0.029062,0.234496
222,1024,0.020123,0.193162
224,1024,0.022674,0.213534
226,1024,0.020214,0.214746
228,1024,0.028144,0.223059
230,1024,0.020748,0.221253
232,1024,0.022528,0.222972
234,1024,0.026104,0.214302
236,1024,0.024617,0.215748
238,1024,0.030490,0.211973
240,1024,0.023315,0.225121
242,1024,0.026357,0.220885
244,1024,0.031605,0.234358
246,1024,0.037534,0.246517
248,1024,0.030797,0.239517
250,1024,0.027703,0.262251
252,1024,0.026133,0.256671
254,1024,0.031088,0.287055
256,1024,0.019343,0.159016
